p:batch_size,p:beta,p:decay_rate,p:decay_rate_steps,p:dense_width,p:latent_dim,p:learning_rate,objective,job_id,m:timestamp_submit,m:timestamp_gather
8,0.0001,0.999,1,128,32,0.001,-8.317870378959924e-05,0,0.03323769569396973,81.12329268455505
6,1,0.001675569944093659,81,256,128,0.0007099668574083861,-0.0009052855893969536,1,81.17026662826538,107.16127681732178
6,10,1.0426811836320545e-05,81,256,64,0.0008148958278279285,-0.0019244842696934938,2,107.20915508270264,129.65493392944336
6,0.0001,0.028877012466859128,21,64,16,0.00022322943229413004,-0.001818827004171908,3,129.69866824150085,153.18814253807068
4,0.1,0.43437400668425763,31,256,128,0.00011557984413513168,-0.0007407055818475783,4,153.23824453353882,181.15066266059875
